滇池路  南亚风情第壹城星光苑 办公优选俩房  诚心出租,南亚风情第壹城南亚星河苑,3200 元/月,https://km.zu.anjuke.com/fangyuan/1223905334
金尚壹号大厦 王旗营小区 万宏国际旁 无中介 包物业,龙泉花园,450 元/月,https://km.zu.anjuke.com/fangyuan/1222517024
新亚洲体育城 星泽园 精装四房 全家具家电 拎包入住 南北向,星泽园,3300 元/月,https://km.zu.anjuke.com/fangyuan/1224825074
南亚风情第壹城 东南精装俩房全套家具家电 房源诚心出租,南亚风情第壹城南亚星河苑,3200 元/月,https://km.zu.anjuke.com/fangyuan/1223359645
天佑商场 昆明明珠医院 金马寺地铁站旁 无中介 包物业,东骏苑小区,450 元/月,https://km.zu.anjuke.com/fangyuan/1224757367
大观商业城文化空间 直租单间 次卧480元起 0中介领包入住,文化空间,480 元/月,https://km.zu.anjuke.com/fangyuan/1225208145
火车北站附近 滨江俊园 主卧带独卫家具全新房租月付无中介,滨江俊园,980 元/月,https://km.zu.anjuke.com/fangyuan/1225049756
押一付一 无 中 介  天宇广场 精装修 拎包入住 近地铁,葡萄街区天宇广场,600 元/月,https://km.zu.anjuke.com/fangyuan/1225222855
北市区天润金碧 豪华装修 三室两厅 带家具电器 急租,天润金碧园小区,2500 元/月,https://km.zu.anjuke.com/fangyuan/1224500920
鹤塘福景 整租无中介 押一付一 无隔断间  带全部家具,鹤唐福景,3670 元/月,https://km.zu.anjuke.com/fangyuan/1222040809
日新地铁口三房拎包入住小区安静，内有幼儿园,日新小区,1900 元/月,https://km.zu.anjuke.com/fangyuan/1225304196
首月0租金火车北地铁站口旁 天宇花园小区 新小区 新装修直租,葡萄街区天宇花园,900 元/月,https://km.zu.anjuke.com/fangyuan/1224057558
北辰财富中心 地铁口天怡峰景 阳光房 无中介带家具家电拎包住,天怡峰景,850 元/月,https://km.zu.anjuke.com/fangyuan/1225404109
首月免房租 国福现代城荷花苑 北市区 主卧没中介 代家具家电,国福现代城荷花苑,900 元/月,https://km.zu.anjuke.com/fangyuan/1223490788
首月0租金  溪畔丽景云锡花园 超大房间 带沙发茶几 无中介,云锡花园二期西区,950 元/月,https://km.zu.anjuke.com/fangyuan/1224997183
前卫西路 金坤世纪 合租公寓 无中介 押一付一 l拎包入住,金坤尚城学府里,910 元/月,https://km.zu.anjuke.com/fangyuan/1221005210
