立减3400高层精装电梯房，视野开阔润尔雅园,润尔雅园,1220 元/月,https://sz.zu.anjuke.com/fangyuan/1225470933
0元入住 每月返现 中粮澜山 临近地铁站 拎包入住 民水民电,中粮澜山,420 元/月,https://sz.zu.anjuke.com/fangyuan/1225466304
0元入住 每月返现 金港华庭 临近地铁站 拎包入住 民水民电,金港华庭,280 元/月,https://sz.zu.anjuke.com/fangyuan/1225474161
立减3400 小资生活公寓，精装干净贴心 光彩新天地,光彩新天地,1600 元/月,https://sz.zu.anjuke.com/fangyuan/1222765510
一降到底 每月返现 田贝北院房源 临近地铁站,田贝北院小区,1290 元/月,https://sz.zu.anjuke.com/fangyuan/1220967307
房租不必成为负担，一年省3400的房子你见过吗桃苑,桃苑居,1240 元/月,https://sz.zu.anjuke.com/fangyuan/1225038528
返现3400 房源龙华中心区 宏益公馆民水民电 临近地铁,宏益公馆,2450 元/月,https://sz.zu.anjuke.com/fangyuan/1221369246
一降到底 每月返现 旭飞花园 房源 临近地铁站,旭飞花园,1600 元/月,https://sz.zu.anjuke.com/fangyuan/1220886630
一降到底 每月返现 宝富花园 房源 临近地铁站,宝富花园,110 元/月,https://sz.zu.anjuke.com/fangyuan/1225479742
深圳租房近地铁西丽裕馨楼,裕馨楼,1420 元/月,https://sz.zu.anjuke.com/fangyuan/1219868181
上步工业区华强北南北通透 好格局 地段 便宜急租,上步工业区,2530 元/月,https://sz.zu.anjuke.com/fangyuan/1214923059
深宝公寓免物业网络费 沃尔玛旁 商超齐全,深宝公寓,1160 元/月,https://sz.zu.anjuke.com/fangyuan/1221019765
华达园公寓水库好房出租，家具齐全，装修小清新，随时看房,华达园公寓,2370 元/月,https://sz.zu.anjuke.com/fangyuan/1221550269
立减3400双周免费保洁，跟酒店一样干净中兴路18号小区,中兴路18号小区,1510 元/月,https://sz.zu.anjuke.com/fangyuan/1223212155
壹方商业圈 地标建筑 豪装全齐 朝南看花园 业主诚租3房,壹方中心(壹方中心玖誉),19500 元/月,https://sz.zu.anjuke.com/fangyuan/1223930075
香荟雅苑香蜜湖拎包入住，干净的公寓，座的你都挑不出毛病,香荟雅苑,2440 元/月,https://sz.zu.anjuke.com/fangyuan/1221032921
前门万象城后面润府三期，高端大气品质住宅尽享舒适生活,华润城润府二期,28000 元/月,https://sz.zu.anjuke.com/fangyuan/1224506737
下沙七坊上下沙精装全配，生活便利，多房源可供挑选，随时带看,下沙七坊,2340 元/月,https://sz.zu.anjuke.com/fangyuan/1221540876
首月免租，每月返现 玉玲花园 临近地铁 商超齐全拎包入住宜居,玉玲花园,660 元/月,https://sz.zu.anjuke.com/fangyuan/1222471043
首月立减1000 家具家电 免费WiFi 安排上了 宝翠苑,宝翠苑,1680 元/月,https://sz.zu.anjuke.com/fangyuan/1224859135
华侨城豪华装修，全齐大2房安静，绿化好小区管理严格停车位足够,首地容御花园,9800 元/月,https://sz.zu.anjuke.com/fangyuan/1223964192
一降到底 每月返现 共和和丰大厦房源 临近地铁站,共和和丰大厦,2020 元/月,https://sz.zu.anjuke.com/fangyuan/1221370338
刚刚空置 万科第五园  合院别墅 上下三层  非常适合办公,万科第五园(二期),12000 元/月,https://sz.zu.anjuke.com/fangyuan/1224840069
保洁阿姨说她也想要5星好评 翠盈嘉园 洪湖,翠盈嘉园,1730 元/月,https://sz.zu.anjuke.com/fangyuan/1223204535
皇庭彩园漂亮的两房 实用,皇庭彩园,6200 元/月,https://sz.zu.anjuke.com/fangyuan/1225762476
豪华欧式装修，业主出国出租，可养宠物，长租更好，两个车位地铁,THETOWN乐城,4200 元/月,https://sz.zu.anjuke.com/fangyuan/1217765949
绿景居家品质物业，业主自住出租，家私电齐全，拎包即住,绿景花园(二期),9800 元/月,https://sz.zu.anjuke.com/fangyuan/1219623351
